Site Ref,Site Name,Description,Customer,Postcode,Town,Latitude,Longitude
GB-LCL-A0089,[GB-LCL-A0089] Croydon: 18-2 Lower Road / ACE0136573 / CR8 2DT,Alfen 7kW,Believ (EV),CR8 2DT,Croydon,51.329781,-0.10849873
GB-LCL-A0090,[GB-LCL-A0090] Waltham Forest: 1-19 Larkswood Road / ACE0166128 / E4 9DY,Alfen 22kW,Believ (EV),E4 9DY,Waltham Forest,51.615057,-0.016845
GB-LCL-A0091,[GB-LCL-A0091] Waltham Forest: Hitcham Road / ACE0422399 / E10 7NQ,Alfen 22kW,Believ (EV),E10 7NQ,Waltham Forest,51.5692,-0.029651
GB-LCL-A0092,[GB-LCL-A0092] Waltham Forest: Hitcham Road / ACE0166172,Alfen 22kW,Believ (EV),E10 7NQ,Waltham Forest,51.5692,-0.029651
GB-LCL-A0093,[GB-LCL-A0093] Gosport Road / Markhouse,Alfen 22kW,Believ (EV),E17 7NZ,Waltham Forest,51.58115101,-0.02744172
GB-LCL-A0094,[GB-LCL-A0094] Waltham Forest: Gosport Road / Markhouse / ACE0166129 / E17 7NZ,Alfen 22kW,Believ (EV),E17 7NZ,Waltham Forest,51.58115101,-0.02744172
GB-LCL-A0095,[GB-LCL-A0095] Northampton: 1 Oakwood Rd / ACE0241556 / NN2 7HE,Alfen 22kW,Believ (EV),NN2 7HE,Northampton,52.253345,-0.876198
GB-LCL-A0096,[GB-LCL-A0096] Northampton: 1 Oakwood Rd / ACE0241555 / NN2 7HE,Alfen 22kW,Believ (EV),NN2 7HE,Northampton,52.253345,-0.876198
GB-LCL-A0099,[GB-LCL-A0099] Northampton: 127 Upper Thrift Street / ACE0241524 / NN1 5HR,Alfen 22kW,Believ (EV),NN1 5HR,Northampton,52.238713,-0.876164
GB-LCL-A0100,[GB-LCL-A0100] Northampton: 127 Upper Thrift St / ACE0241533 / NN1 5HR,Alfen 22kW,Believ (EV),NN1 5HR,Northampton,52.238713,-0.876164
GB-LCL-A0101,[GB-LCL-A0101] Northampton: Vicarage Road / ACE0241528 / NN5 7AX,Alfen 22kW,Believ (EV),NN5 7AX,Northampton,52.242517,-0.917393
GB-LCL-A0102,[GB-LCL-A0102] Northampton: Vicarage Road / ACE0241534 / NN5 7AX,Alfen 22kW,Believ (EV),NN5 7AX,Northampton,52.242517,-0.917393
GB-LCL-A0103,[GB-LCL-A0103] Northampton : 55 Semilong Road / ACE0241520 / NN2 6BU,Alfen 22kW,Believ (EV),NN2 6BU,Northampton ,52.247624,-0.900267
GB-LCL-A0105,[GB-LCL-A0105] Northampton: Opposite 88 St James Park Road / ACE0241553 / NN5 5EL,Alfen 22kW,Believ (EV),NN5 5EL,Northampton,52.239516,-0.910608
GB-LCL-A0106,[GB-LCL-A0106] Northampton: Opposite 88 St James Park Road / ACE0241536 / NN5 5EL,Alfen 22kW,Believ (EV),NN5 5EL,Northampton,52.239516,-0.910608
GB-LCL-A0109,[GB-LCL-A0109] Wellingborough: Opposite 22 Castle Road / ACE0241531 / NN8 1LL,Alfen 22kW,Believ (EV),NN8 1LL,Wellingborough,52.2997643,-0.6869464
GB-LCL-A0110,[GB-LCL-A0110] Wellingborough: Opposite 22 Castle Road Castle Road / ACE0241518 / NN8 1LL,Alfen 22kW,Believ (EV),NN8 1LL,Wellingborough,52.2997643,-0.6869464
GB-LCL-A0111,[GB-LCL-A0111] Rushden: 11-27 Newman St / Higham Ferrers / ACE0241538 / NN10 8JP,Alfen 22kW,Believ (EV),NN10 8JP,Rushden,52.313251,-0.590462
GB-LCL-A0112,[GB-LCL-A0112] Rushden: 11-27 Newman St / Higham Ferrers / ACE0241535 / NN10 8JP,Alfen 22kW,Believ (EV),NN10 8JP,Rushden,52.313251,-0.590462
GB-LCL-A0113,[GB-LCL-A0113] Kettering: 57 Highfield Rd / Thrapston / ACE0241532 / NN14 4PG,Alfen 22kW,Believ (EV),NN14 4PG,Kettering,52.399592,-0.527857
GB-LCL-A0114,[GB-LCL-A0114] Kettering: 57 Highfield Rd / Thrapston / ACE0241521 / NN14 4PG,Alfen 22kW,Believ (EV),NN14 4PG,Kettering,52.399592,-0.527857
GB-LCL-A0115,[GB-LCL-A0115] Keterring: 9 Linnell Way / ACE0241557 / NN16 8PS,Alfen 22kW,Believ (EV),NN16 8PS,Keterring,52.410021,-0.740299
GB-LCL-A0116,[GB-LCL-A0116] Kettering: 9 Linnell Way / ACE0241517 / NN16 8PS,Alfen 22kW,Believ (EV),NN16 8PS,Kettering,52.410021,-0.740299
GB-LCL-A0117,[GB-LCL-A0117] Kettering: 27 Telford Way / ACE0241537 / NN16 8UW,Alfen 22kW,Believ (EV),NN16 8UW,Kettering,52.406807,-0.743834
GB-LCL-A0118,[GB-LCL-A0118] Northampton: Barry Road / ACE0241550 / NN1 5HU,Alfen 22kW,Believ (EV),NN1 5HU,Northampton,52.239377,-0.872254
GB-LCL-A0119,[GB-LCL-A0119] Northampton: Barry Road / ACE0241560 / NN1 5HU,Alfen 22kW,Believ (EV),NN1 5HU,Northampton,52.239377,-0.872254
GB-LCL-A0120,[GB-LCL-A0120] Kettering: 27 Telford Way / ACE0241558 / NN16 8UW,Alfen 22kW,Believ (EV),NN16 8UW,Kettering,52.406807,-0.743834
GB-LCL-A0121,[GB-LCL-A0121] Hammersmith & Fulham: 46 Margravine Road,Alfen 22kW,Believ (EV),W6 8HA,Hammersmith & Fulham,51.48760617,-0.21822051
GB-LCL-A0122,[GB-LCL-A0122] Hammersmith & Fulham: 7 Paddenswick Road,Alfen 22kW,Believ (EV),W6 0UA,Hammersmith & Fulham,51.496998,-0.235587
GB-LCL-A0123,[GB-LCL-A0123] Hammersmith & Fulham: Lena Gardens / ACE0261300 / W6 7PD,Alfen 22kW,Believ (EV),W6 7PD,Hammersmith & Fulham,51.4985129,-0.22267678
GB-LCL-A0125,[GB-LCL-A0125] Hammersmith & Fulham: Dunsany Road,Alfen 22kW,Believ (EV),W14 0ES,Hammersmith & Fulham,51.499107,-0.220511
GB-LCL-A0126,[GB-LCL-A0126] Hammersmith & Fulham: Caithness Road / ACE0261325 / W14 0JD,Alfen 22kW,Believ (EV),W14 0JD,Hammersmith & Fulham,51.496211,-0.21891
GB-LCL-A0127,[GB-LCL-A0127] Northampton: 40-28 Ardington Road / ACE0261275 / NN1 5NE,Alfen 22kW,Believ (EV),NN1 5NE,Northampton,52.244001,-0.86909
GB-LCL-A0128,[GB-LCL-A0128] Northampton: 40-28 Ardington Road / ACE0261240 / NN1 5NE,Alfen 22kW,Believ (EV),NN1 5NE,Northampton,52.244001,-0.86909
GB-LCL-A0129,[GB-LCL-A0129] Wellingborough : Knox Road / ACE0261251 / NN8 1JA,Alfen 22kW,Believ (EV),NN8 1JA,Wellingborough ,52.302717,-0.684032
GB-LCL-A0130,[GB-LCL-A0130] Wellingborough: Knox Road / ACE0261257 / NN8 1JA,Alfen 22kW,Believ (EV),NN8 1JA,Wellingborough,52.302717,-0.684032
GB-LCL-A0131,[GB-LCL-A0131] Hammersmith & Fulham: 13 Shinfield Street,Alfen 22kW,Believ (EV),W12 0HN,Hammersmith & Fulham,51.516896,-0.225714
GB-LCL-A0132,[GB-LCL-A0132] Hammersmith & Fulham: Rockley Road / ACE0261306 / W12 8QZ,Alfen 22kW,Believ (EV),W12 8QZ,Hammersmith & Fulham,51.503436,-0.220499
GB-LCL-A0133,[GB-LCL-A0133] Hammersmith & Fulham: 21 Kenmont Gardens / ACE0261296 / NW10 6BT,Alfen 22kW,Believ (EV),NW10 6BT,Hammersmith & Fulham,51.531522,-0.234499
GB-LCL-A0134,[GB-LCL-A0134] Wandsworth: 63 St. Johns Avenue / ACE0261292 / SW15 6AL,Alfen 22kW,Believ (EV),SW15 6AL,Wandsworth,51.45976,-0.22201
GB-LCL-A0135,[GB-LCL-A0135] Wandsworth: 63 St. Johns Avenue / ACE0261286,Alfen 22kW,Believ (EV),SW15 6AL,Wandsworth,51.45976,-0.22201
GB-LCL-A0136,[GB-LCL-A0136] Wandsworth: o/s 43 Carlton Drive / ACE0261287 / SW15 2DG,Alfen 22kW,Believ (EV),SW15 2DG,Wandsworth,51.45775,-0.2177
GB-LCL-A0137,[GB-LCL-A0137] Wandsworth: o/s 43 Carlton Drive / ACE0261291 / SW15 2DG,Alfen 22kW,Believ (EV),SW15 2DG,Wandsworth,51.45775,-0.2177
GB-LCL-A0138,[GB-LCL-A0138] Wandsworth: 11 Keswick Road / ACE0261317 / SW15 2HZ,Alfen 22kW,Believ (EV),SW15 2HZ,Wandsworth,51.457465,-0.210795
GB-LCL-A0139,[GB-LCL-A0139] Wandsworth: 11 Keswick Road / ACE0261303 / SW15 2HZ,Alfen 22kW,Believ (EV),SW15 2HZ,Wandsworth,51.457465,-0.210795
GB-LCL-A0140,[GB-LCL-A0140] Wandsworth: 212 Cowick Road A / ACE0158172,Alfen 22kW,Believ (EV),SW17 8HL,Wandsworth,51.4286549,-0.15981
GB-LCL-A0141,[GB-LCL-A0141] Wandsworth: 212 Cowick Road A / ACE0261322 / SW17 8HL,Alfen 22kW,Believ (EV),SW17 8HL,Wandsworth,51.4286549,-0.15981
GB-LCL-A0142,[GB-LCL-A0142] Wandsworth: Lavenham Road / ACE0261280 / SW18 5EP,Alfen 22kW,Believ (EV),SW18 5EP,Wandsworth,51.44285,-0.197877
GB-LCL-A0143,[GB-LCL-A0143] Hammersmith & Fulham: 1 Wingate Road / ACE0261314 / W12 8ER,Alfen 22kW,Believ (EV),W12 8ER,Hammersmith & Fulham,51.50010047,-0.23604183
GB-LCL-A0144,[GB-LCL-A0144] Hammersmith & Fulham: Becklow Road / ACE0261304 / W12 9ER,Alfen 22kW,Believ (EV),W12 9ER,Hammersmith & Fulham,51.50570438,-0.2417392
GB-LCL-A0145,[GB-LCL-A0145] Rushden: 29 York Road / ACE0261250 / NN10 0RF,Alfen 22kW,Believ (EV),NN10 0RF,Rushden,52.287313,-0.593469
GB-LCL-A0146,[GB-LCL-A0146] Rushden: 29 York Road / ACE0261271 / NN10 0RF,Alfen 22kW,Believ (EV),NN10 0RF,Rushden,52.287313,-0.593469
GB-LCL-A0147,[GB-LCL-A0147] Hammersmith & Fulham: 118-120 Colehill Lane /  ACE0261324 / SW6 5EJ,Alfen 22kW,Believ (EV),SW6 5EJ,Hammersmith & Fulham,51.47431156,-0.21296674
GB-LCL-A0148,[GB-LCL-A0148] Hammersmith & Fulham: Bowfell Road / ACE0261321 / SW6 6LP,Alfen 22kW,Believ (EV),SW6 6LP,Hammersmith & Fulham,51.48450427,-0.22268543
GB-LCL-A0149,[GB-LCL-A0149] Hammersmith & Fulham: Breer Street / ACE0166164 /  SW6 3HF,Alfen 22kW,Believ (EV),SW6 3HF,Hammersmith & Fulham,51.46658814,-0.19016258
GB-LCL-A0150,[GB-LCL-A0150] Hammersmith & Fulham: 23-22 Hythe Road,Alfen 22kW,Believ (EV),NW10 6RT,Hammersmith & Fulham,51.528666,-0.244313
GB-LCL-A0151,[GB-LCL-A0151] Hammersmith & Fulham: 1 Trenmar Gardens / ACE0261318 / NW10 6BD,Alfen 22kW,Believ (EV),NW10 6BD,Hammersmith & Fulham,51.531184,-0.232611
GB-LCL-A0152,[GB-LCL-A0152] Wandsworth: Lavenham Road / ACE0166116 / SW18 5EP,Alfen 22kW,Believ (EV),SW18 5EP,Wandsworth,51.44285,-0.197877
GB-LCL-A0153,[GB-LCL-A0153] Hammersmith & Fulham: Caverswall Street / ACE0261316 / W12 0HT,Alfen 22kW,Believ (EV),W12 0HT,Hammersmith & Fulham,51.518324,-0.227509
GB-LCL-A0154,[GB-LCL-A0154] Croydon: 30 Dagnall Park / ACE0136622 / SE25 5PH,Alfen 7kW,Believ (EV),SE25 5PH,Croydon,51.391341,-0.089756
GB-LCL-A0155,[GB-LCL-A0155] Croydon: 30 Dagnall Park / ACE0136594 / SE25 5PH,Alfen 7kW,Believ (EV),SE25 5PH,Croydon,51.391341,-0.089756
GB-LCL-A0156,[GB-LCL-A0156] Croydon: Opp. 54 Ross Road / ACE0165856 / SE25 6SB,Alfen 7kW,Believ (EV),SE25 6SB,Croydon,51.403975,-0.08546
GB-LCL-A0158,[GB-LCL-A0158] Croydon: 58-54 Brook Road / ACE0165859 / CR7 7RT,Alfen 7kW,Believ (EV),CR7 7RT,Croydon,51.399661,-0.103842
GB-LCL-A0161,[GB-LCL-A0161] Croydon: St. Saviours Road / ACE0165862 / CR0 2XF,Alfen 7kW,Believ (EV),CR0 2XF,Croydon,51.388089,-0.105069
GB-LCL-A0162,[GB-LCL-A0162] Croydon: 80-2 Arundel Road / ACE0189197 / CR0 2EP,Alfen 7kW,Believ (EV),CR0 2EP,Croydon,51.387389,-0.095418
GB-LCL-A0163,[GB-LCL-A0163] Croydon: 4 Stonecroft Way / ACE0165863 / CR0 3DH,Alfen 7kW,Believ (EV),CR0 3DH,Croydon,51.387601,-0.128244
GB-LCL-A0164,[GB-LCL-A0164] Croydon: Opp. 139 Bynes Road / ACE0136595 / CR2 0PS,Alfen 7kW,Believ (EV),CR2 0PS,Croydon,51.352185,-0.095552
GB-LCL-A0165,[GB-LCL-A0165] Croydon: 71 Birdhurst Rise / ACE0165854 / CR2 7EJ,Alfen 7kW,Believ (EV),CR2 7EJ,Croydon,51.362317,-0.090329
GB-LCL-A0166,[GB-LCL-A0166] Croydon: Abingdon Road / ACE0165853 / SW16 4QR,Alfen 7kW,Believ (EV),SW16 4QR,Croydon,51.409489,-0.129034
GB-LCL-A0167,[GB-LCL-A0167] Hammersmith & Fulham: Settrington Road / ACE0166178 / SW6 3AP,Alfen 22kW,Believ (EV),SW6 3AP,Hammersmith & Fulham,51.46988676,-0.19258946
GB-LCL-A0168,[GB-LCL-A0168] Wandsworth: Ballingdon Rd / ACE0166227 / SW11 6AJ,Alfen 22kW,Believ (EV),SW11 6AJ,Wandsworth,51.454107,-0.15879
GB-LCL-A0169,[GB-LCL-A0169] Wandsworth: 117 Bolingbroke Grove / ACE0261254 / SW11 1DA,Alfen 22kW,Believ (EV),SW11 1DA,Wandsworth,51.459114,-0.170898
GB-LCL-A0170,[GB-LCL-A0170] Wandsworth: 117 Bolingbroke Grove / ACE026123 / SW11 1DA,,Believ (EV),SW11 1DA,Wandsworth,51.459114,-0.170898
GB-LCL-A0171,[GB-LCL-A0171] Wandsworth: Lurline Gardens / ACE0261276 / SW11 4DP,Alfen 22kW,Believ (EV),SW11 4DP,Wandsworth,51.477191,-0.148617
GB-LCL-A0172,[GB-LCL-A0172] Wandsworth: Lurline Gardens / ACE0261238 / SW11 4DP,Alfen 22kW,Believ (EV),SW11 4DP,Wandsworth,51.477191,-0.148617
GB-LCL-A0173,[GB-LCL-A0173] Wandsworth: Alderbrook Road,Alfen 22kW,Believ (EV),SW12 8AF,Wandsworth,51.452612,-0.151499
GB-LCL-A0173,[GB-LCL-A0173] Wandsworth: Alderbrook Road / ACE0261237 / SW12 8AF,Alfen 22kW,Believ (EV),SW12 8AF,Wandsworth,51.452612,-0.151499
GB-LCL-A0174,[GB-LCL-A0174] Alderbrook Road,Alfen 22kW,Believ (EV),SW12 8AF,Wandsworth,51.452612,-0.151499
GB-LCL-A0174,[GB-LCL-A0174] Wandsworth: Alderbrook Road / ACE0261256 / SW12 8AF,Alfen 22kW,Believ (EV),SW12 8AF,Wandsworth,51.452612,-0.151499
